"Name","X-Coordiante","Y-Coordinate","Rotation","Value","Package"
"C140","111.650","116.250","0","1nF","0603"
"LED140","112.150","114.000","90","green_150060VS75000","0603"
"IC141","90.000","117.345","90","BGS12P2L6","TSLP-6-4"
"R141","89.625","115.170","0","1.5kR","0603"
"C141","91.650","116.250","0","1nF","0603"
"LED141","92.150","114.000","90","green_150060VS75000","0603"
"IC142","70.000","117.345","90","BGS12P2L6","TSLP-6-4"
"R142","69.625","115.170","0","1.5kR","0603"
"C142","71.650","116.250","0","1nF","0603"
"LED142","72.150","114.000","90","green_150060VS75000","0603"
"IC143","50.000","117.345","90","BGS12P2L6","TSLP-6-4"
"R143","49.625","115.170","0","1.5kR","0603"
"C143","51.650","116.250","0","1nF","0603"
"LED143","52.150","114.000","90","green_150060VS75000","0603"
"IC144","30.000","117.345","90","BGS12P2L6","TSLP-6-4"
"R144","29.625","115.170","0","1.5kR","0603"
"C144","31.650","116.250","0","1nF","0603"
"LED144","32.150","114.000","90","green_150060VS75000","0603"
"IC145","330.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R145","329.625","102.170","0","1.5kR","0603"
"C145","331.650","103.250","0","1nF","0603"
"LED145","332.150","101.000","90","green_150060VS75000","0603"
"IC146","310.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R146","309.625","102.170","0","1.5kR","0603"
"C146","311.650","103.250","0","1nF","0603"
"LED146","312.150","101.000","90","green_150060VS75000","0603"
"IC147","290.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R147","289.625","102.170","0","1.5kR","0603"
"C147","291.650","103.250","0","1nF","0603"
"LED147","292.150","101.000","90","green_150060VS75000","0603"
"IC148","270.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R148","269.625","102.170","0","1.5kR","0603"
"C148","271.650","103.250","0","1nF","0603"
"LED148","272.150","101.000","90","green_150060VS75000","0603"
"IC149","250.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R149","249.625","102.170","0","1.5kR","0603"
"C149","251.650","103.250","0","1nF","0603"
"LED149","252.150","101.000","90","green_150060VS75000","0603"
"IC150","230.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R150","229.625","102.170","0","1.5kR","0603"
"C150","231.650","103.250","0","1nF","0603"
"LED150","232.150","101.000","90","green_150060VS75000","0603"
"IC151","210.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R151","209.625","102.170","0","1.5kR","0603"
"C151","211.650","103.250","0","1nF","0603"
"LED151","212.150","101.000","90","green_150060VS75000","0603"
"IC152","190.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R152","189.625","102.170","0","1.5kR","0603"
"C152","191.650","103.250","0","1nF","0603"
"LED152","192.150","101.000","90","green_150060VS75000","0603"
"IC153","170.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R153","169.625","102.170","0","1.5kR","0603"
"C153","171.650","103.250","0","1nF","0603"
"LED153","172.150","101.000","90","green_150060VS75000","0603"
"IC154","150.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R154","149.625","102.170","0","1.5kR","0603"
"C154","151.650","103.250","0","1nF","0603"
"LED154","152.150","101.000","90","green_150060VS75000","0603"
"IC155","130.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R155","129.625","102.170","0","1.5kR","0603"
"C155","131.650","103.250","0","1nF","0603"
"LED155","132.150","101.000","90","green_150060VS75000","0603"
"IC156","110.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R156","109.625","102.170","0","1.5kR","0603"
"C156","111.650","103.250","0","1nF","0603"
"LED156","112.150","101.000","90","green_150060VS75000","0603"
"IC157","90.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R157","89.625","102.170","0","1.5kR","0603"
"C157","91.650","103.250","0","1nF","0603"
"LED157","92.150","101.000","90","green_150060VS75000","0603"
"IC158","70.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R158","69.625","102.170","0","1.5kR","0603"
"C158","71.650","103.250","0","1nF","0603"
"LED158","72.150","101.000","90","green_150060VS75000","0603"
"IC159","50.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R159","49.625","102.170","0","1.5kR","0603"
"C159","51.650","103.250","0","1nF","0603"
"LED159","52.150","101.000","90","green_150060VS75000","0603"
"IC160","30.000","104.345","90","BGS12P2L6","TSLP-6-4"
"R160","29.625","102.170","0","1.5kR","0603"
"C160","31.650","103.250","0","1nF","0603"
"LED160","32.150","101.000","90","green_150060VS75000","0603"
"IC161","330.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R161","329.625","89.170","0","1.5kR","0603"
"C161","331.650","90.250","0","1nF","0603"
"LED161","332.150","88.000","90","green_150060VS75000","0603"
"IC162","310.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R162","309.625","89.170","0","1.5kR","0603"
"C162","311.650","90.250","0","1nF","0603"
"LED162","312.150","88.000","90","green_150060VS75000","0603"
"IC163","290.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R163","289.625","89.170","0","1.5kR","0603"
"C163","291.650","90.250","0","1nF","0603"
"LED163","292.150","88.000","90","green_150060VS75000","0603"
"IC164","270.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R164","269.625","89.170","0","1.5kR","0603"
"C164","271.650","90.250","0","1nF","0603"
"LED164","272.150","88.000","90","green_150060VS75000","0603"
"IC165","250.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R165","249.625","89.170","0","1.5kR","0603"
"C165","251.650","90.250","0","1nF","0603"
"LED165","252.150","88.000","90","green_150060VS75000","0603"
"IC166","230.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R166","229.625","89.170","0","1.5kR","0603"
"C166","231.650","90.250","0","1nF","0603"
"LED166","232.150","88.000","90","green_150060VS75000","0603"
"IC167","210.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R167","209.625","89.170","0","1.5kR","0603"
"C167","211.650","90.250","0","1nF","0603"
"LED167","212.150","88.000","90","green_150060VS75000","0603"
"IC168","190.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R168","189.625","89.170","0","1.5kR","0603"
"C168","191.650","90.250","0","1nF","0603"
"LED168","192.150","88.000","90","green_150060VS75000","0603"
"IC169","170.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R169","169.625","89.170","0","1.5kR","0603"
"C169","171.650","90.250","0","1nF","0603"
"LED169","172.150","88.000","90","green_150060VS75000","0603"
"IC170","150.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R170","149.625","89.170","0","1.5kR","0603"
"C170","151.650","90.250","0","1nF","0603"
"LED170","152.150","88.000","90","green_150060VS75000","0603"
"IC171","130.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R171","129.625","89.170","0","1.5kR","0603"
"C171","131.650","90.250","0","1nF","0603"
"LED171","132.150","88.000","90","green_150060VS75000","0603"
"IC172","110.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R172","109.625","89.170","0","1.5kR","0603"
"C172","111.650","90.250","0","1nF","0603"
"LED172","112.150","88.000","90","green_150060VS75000","0603"
"IC173","90.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R173","89.625","89.170","0","1.5kR","0603"
"C173","91.650","90.250","0","1nF","0603"
"LED173","92.150","88.000","90","green_150060VS75000","0603"
"IC174","70.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R174","69.625","89.170","0","1.5kR","0603"
"C174","71.650","90.250","0","1nF","0603"
"LED174","72.150","88.000","90","green_150060VS75000","0603"
"IC175","50.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R175","49.625","89.170","0","1.5kR","0603"
"C175","51.650","90.250","0","1nF","0603"
"LED175","52.150","88.000","90","green_150060VS75000","0603"
"IC176","30.000","91.345","90","BGS12P2L6","TSLP-6-4"
"R176","29.625","89.170","0","1.5kR","0603"
